=========================================
== CST Matrix Calculation Priority Log ==
=========================================
Priorities are sorted in ascending order beginning with the lowest priority
 
Group | Shape-ID | ShapeName | Material | User-priority | 2D/3D-Geometry | Material-attributes | Shape-attributes | Feature-ID | Schemetype
1 | 4 | </cst/Boundaries/> Low^X | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 5 | </cst/Boundaries/> Low^Y | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 7 | </cst/Boundaries/> Up^X | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 8 | </cst/Boundaries/> Up^Y | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 9 | </cst/Boundaries/> Up^Z | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
2 | 6 | </cst/Boundaries/> Low^Z | PEC | n/a | no | pec. | boundary. | n/a | FIT_TD
3 | 3 | component1:Substr | substrate | n/a | yes | normal. | solid. | n/a | FIT_TD
4 | 1 | component1:C_1_1 | PEC | n/a | yes | pec. | solid. | n/a | FIT_TD
4 | 2 | component1:GroundPlane | PEC | n/a | yes | pec. | solid. | n/a | FIT_TD
=========================================
